title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
The Harpole Report,J.L. Carr,1972,28,1972,Fiction,United Kingdom,15,1152,https://en.wikipedia.org/wiki/The_Harpole_Report
Harriet Said...,Beryl Bainbridge,1972,1,"1972 (UK), 1973 (US)",,United Kingdom,28,1178,https://en.wikipedia.org/wiki/Harriet_Said...
The Infernal Desire Machines of Doctor Hoffman,Angela Carter,1972,28,1972,Picaresque,Great Britain,47,2764,https://en.wikipedia.org/wiki/The_Infernal_Desire_Machines_of_Doctor_Hoffman
Journey Into Stone,Audrey Erskine Lindop,1972,28,1972,Thriller,United Kingdom,21,823,https://en.wikipedia.org/wiki/Journey_Into_Stone
Lady of Quality,Georgette Heyer,1972,28,1972,"Regency; , Romance",United Kingdom,87,3157,https://en.wikipedia.org/wiki/Lady_of_Quality
The Levanter,Eric Ambler,1972,28,1972,,United Kingdom,54,878,https://en.wikipedia.org/wiki/The_Levanter
London Consequences,,1972,122,1 May 1972,Collaborative fiction,United Kingdom,28,1168,https://en.wikipedia.org/wiki/London_Consequences
The Needle's Eye,Margaret Drabble,1972,28,1972,,,33,1039,https://en.wikipedia.org/wiki/The_Needle%27s_Eye_(novel)
The Odessa File,Frederick Forsyth,1972,28,1972,Thriller,United Kingdom,71,2330,https://en.wikipedia.org/wiki/The_Odessa_File
Pasmore,David Storey,1972,28,1972,,United Kingdom,9,427,https://en.wikipedia.org/wiki/Pasmore_(novel)
A Pattern of Roses,K. M. Peyton,1972,28,1972,Children's,United Kingdom,23,1220,https://en.wikipedia.org/wiki/A_Pattern_of_Roses
"Pearls, Girls and Monty Bodkin",P. G. Wodehouse,1972,1,12 October 1972 (UK)|6 August 1973 (US),Comic novel,United Kingdom,201,3280,"https://en.wikipedia.org/wiki/Pearls,_Girls_and_Monty_Bodkin"
The Persian Boy,Mary Renault,1972,1,23 October 1972 (UK)|November 1972 (US),Historical novel,South Africa,43,1953,https://en.wikipedia.org/wiki/The_Persian_Boy
Post Captain,Patrick O'Brian,1972,28,1972,Historical novel,United Kingdom,80,6377,https://en.wikipedia.org/wiki/Post_Captain_(novel)
The Queen of a Distant Country,John Braine,1972,28,1972,Drama,United Kingdom,14,705,https://en.wikipedia.org/wiki/The_Queen_of_a_Distant_Country
The Rainbird Pattern,Victor Canning,1972,28,1972,"Thriller; ,; suspense","England; ,; United Kingdom",13,995,https://en.wikipedia.org/wiki/The_Rainbird_Pattern
The Red House,Derek Lambert,1972,28,1972,Thriller,United Kingdom,6,489,https://en.wikipedia.org/wiki/The_Red_House_(Lambert_novel)
The Redwater Raid,"Michael de Larrabeiti; writing as ""Nathan Lestrange""",1972,199,17 July 1972,Western novel,United Kingdom,8,507,https://en.wikipedia.org/wiki/The_Redwater_Raid
The Revolution Script,Brian Moore,1971,1,1971 (Canada and USA); 1972 (UK),Documentary novel,Canada,42,2260,https://en.wikipedia.org/wiki/The_Revolution_Script
Rule Britannia,Daphne du Maurier,2024,2,1972|[2],,United Kingdom,42,2040,https://en.wikipedia.org/wiki/Rule_Britannia_(novel)
The Sheep Look Up,John Brunner (novelist),1972,28,1972,"Science fiction; ,; Dystopian",United Kingdom,56,5229,https://en.wikipedia.org/wiki/The_Sheep_Look_Up
Silence,James Kennaway,1972,28,1972,Drama,United Kingdom,4,452,https://en.wikipedia.org/wiki/Silence_(Kennaway_novel)
Spy in Chancery,Kenneth Benton,1972,1,1972; 2011,Spy novel,United Kingdom,8,1086,https://en.wikipedia.org/wiki/Spy_in_Chancery
The Sunbird,Wilbur Smith,1972,28,1972,,South Africa,58,2061,https://en.wikipedia.org/wiki/The_Sunbird
They Used to Play on Grass,Terry Venables; and; Gordon Williams,1972,28,1972,"Sport, adult fiction",England,6,231,https://en.wikipedia.org/wiki/They_Used_to_Play_on_Grass
Tied Up in Tinsel,Ngaio Marsh,1972,28,1972,Detective fiction,,41,1166,https://en.wikipedia.org/wiki/Tied_Up_in_Tinsel
To Serve Them All My Days,R. F. Delderfield,1972,28,1972,Historical novel,England,28,1545,https://en.wikipedia.org/wiki/To_Serve_Them_All_My_Days
Transit to Scorpio,Kenneth Bulmer,1972,28,1972,Sword and planet,United States,22,2199,https://en.wikipedia.org/wiki/Transit_to_Scorpio
An Unsuitable Job for a Woman,P. D. James,1972,28,1972,Mystery,United Kingdom,63,2224,https://en.wikipedia.org/wiki/An_Unsuitable_Job_for_a_Woman
Watership Down,Richard Adams,1972,333,November 1972,Fantasy,United Kingdom,621,14127,https://en.wikipedia.org/wiki/Watership_Down
Tales from Watership Down,Richard Adams,1996,28,1996,Fantasy; Children's literature,United Kingdom,36,1312,https://en.wikipedia.org/wiki/Tales_from_Watership_Down
The Autumn Ghosts,Ruth M. Arthur,1976,28,1976,Young Adult Fiction,United States,,2028,https://en.wikipedia.org/wiki/The_Autumn_Ghosts
Beau Blackstone,Derek Lambert,1973,28,1973,Historical thriller,United Kingdom,6,577,https://en.wikipedia.org/wiki/Beau_Blackstone
The Black Moon,Winston Graham,1973,28,1973,,Cornwall,8,2855,https://en.wikipedia.org/wiki/The_Black_Moon
The Black Prince,Iris Murdoch,1973,59,Feb 1973,,United Kingdom,51,2449,https://en.wikipedia.org/wiki/The_Black_Prince_(novel)
Blackstone's Fancy,Derek Lambert,1973,28,1973,Historical thriller,United Kingdom,6,655,https://en.wikipedia.org/wiki/Blackstone%27s_Fancy
Carrie's War,Nina Bawden,1973,28,1973,Children's; historical novel,United Kingdom,64,2006,https://en.wikipedia.org/wiki/Carrie%27s_War
Christie Malry's Own Double-Entry,B. S. Johnson,1973,28,1973,Dystopian; metafiction,United Kingdom,26,1614,https://en.wikipedia.org/wiki/Christie_Malry%27s_Own_Double-Entry
Collision Course,Barrington J. Bayley,1973,59,February 1973,Science fiction,United Kingdom,25,1071,https://en.wikipedia.org/wiki/Collision_Course_(Bayley_novel)
Crash,J. G. Ballard,1973,179,June 1973,"Postmodern novel; ,; transgressive fiction; ,; dystopian",United Kingdom,137,3058,https://en.wikipedia.org/wiki/Crash_(Ballard_novel)
Doctor in the Nude,Richard Gordon,1973,28,1973,Comedy,United Kingdom,37,1079,https://en.wikipedia.org/wiki/Doctor_in_the_Nude
The Dressmaker,Beryl Bainbridge,1973,1,"1973 (UK), 1974 (US)",Psychological Fiction,United Kingdom,27,1618,https://en.wikipedia.org/wiki/The_Dressmaker_(Bainbridge_novel)
Father Christmas,Raymond Briggs,1973,28,1973,Children's; graphic novel,United Kingdom,133,3953,https://en.wikipedia.org/wiki/Father_Christmas_(book)
Flashman at the Charge,George MacDonald Fraser,1973,28,1973,Historical fiction,United Kingdom,75,2963,https://en.wikipedia.org/wiki/Flashman_at_the_Charge
The Ghost of Thomas Kempe,Penelope Lively,1973,85,26 March 1973,"Children's; fantasy; novel,; supernatural fiction",United Kingdom,21,1000,https://en.wikipedia.org/wiki/The_Ghost_of_Thomas_Kempe
Golden Soak,Hammond Innes,1973,28,1973,Thriller,United Kingdom,7,679,https://en.wikipedia.org/wiki/Golden_Soak_(novel)
Governor Ramage R.N.,Dudley Pope,1973,28,1973,Naval; historical novels,United Kingdom,7,1258,https://en.wikipedia.org/wiki/Governor_Ramage_R.N.
The Heralds,Brian Killick,1973,28,1973 |Hamish Hamilton,"Comedy,; Mystery",United Kingdom,23,2114,https://en.wikipedia.org/wiki/The_Heralds
HMS Surprise,Patrick O'Brian,1973,28,1973,Historical novel,United Kingdom,65,6069,https://en.wikipedia.org/wiki/HMS_Surprise_(novel)
The Hollow Hills,Mary Stewart,1973,28,1973,Fantasy,United Kingdom,57,1539,https://en.wikipedia.org/wiki/The_Hollow_Hills
The Honorary Consul,Graham Greene,1973,28,1973,,United Kingdom,105,2488,https://en.wikipedia.org/wiki/The_Honorary_Consul
The Hothouse by the East River,Muriel Spark,1973,28,1973,,United States,32,1282,https://en.wikipedia.org/wiki/The_Hothouse_by_the_East_River
In the Springtime of the Year,Susan Hill,1973,28,1973,,United Kingdom,40,2000,https://en.wikipedia.org/wiki/In_the_Springtime_of_the_Year
James Bond: The Authorized Biography,John Pearson,1973,28,1973,"Biography; ,; Spy novel",United Kingdom,113,2869,https://en.wikipedia.org/wiki/James_Bond:_The_Authorized_Biography_of_007
The Medusa Touch,Peter Van Greenaway,1973,28,1973,Thriller novel,United Kingdom,23,611,https://en.wikipedia.org/wiki/The_Medusa_Touch
Passage to Pluto,Hugh Walters,1973,28,1973,Science fiction; novel,United Kingdom,30,1319,https://en.wikipedia.org/wiki/Passage_to_Pluto
The Plot Against Roger Rider,Julian Symons,1973,28,1973,Mystery Thriller,United Kingdom,4,643,https://en.wikipedia.org/wiki/The_Plot_Against_Roger_Rider
Postern of Fate,Agatha Christie,1973,301,October 1973,Crime novel,United Kingdom,187,4241,https://en.wikipedia.org/wiki/Postern_of_Fate
The Quincunx of Time,James Blish,1973,301,October 1973,Science fiction,United States,13,1832,https://en.wikipedia.org/wiki/The_Quincunx_of_Time
The Rachel Papers,Martin Amis,1973,28,1973,Fiction,England,50,2326,https://en.wikipedia.org/wiki/The_Rachel_Papers_(novel)
Red Shift,Alan Garner,1973,260,17 September 1973,Fantasy Novel,United Kingdom,83,5360,https://en.wikipedia.org/wiki/Red_Shift_(novel)
Rendezvous with Rama,Arthur C. Clarke,1973,1,Jun 1973 (UK)|Aug 1973 (US),Science fiction,United Kingdom,455,9342,https://en.wikipedia.org/wiki/Rendezvous_with_Rama
Ruling Passion,Reginald Hill,1973,118,April 1973,crime novel,United Kingdom,24,1269,https://en.wikipedia.org/wiki/Ruling_Passion
The Siege of Krishnapur,J. G. Farrell,1973,28,1973,,United Kingdom,169,2372,https://en.wikipedia.org/wiki/The_Siege_of_Krishnapur
The Silver Mistress,Peter O'Donnell,1973,28,1973,Spy fiction,United Kingdom,29,1353,https://en.wikipedia.org/wiki/The_Silver_Mistress
Some Lie And Some Die,Ruth Rendell,1973,106,16 April 1973,"Crime; ,; Mystery novel",United Kingdom,72,1649,https://en.wikipedia.org/wiki/Some_Lie_and_Some_Die
The Suns of Scorpio,Kenneth Bulmer,1973,28,1973,Sword and planet,United States,18,2630,https://en.wikipedia.org/wiki/The_Suns_of_Scorpio
Swordships of Scorpio,Kenneth Bulmer,1973,28,1973,Sword and planet,United States,18,2604,https://en.wikipedia.org/wiki/Swordships_of_Scorpio
Temporary Kings,Anthony Powell,1973,28,1973,,United Kingdom,30,1185,https://en.wikipedia.org/wiki/Temporary_Kings
The Tightrope Men,Desmond Bagley,1973,28,1973,Thriller; Novel,United Kingdom,26,1113,https://en.wikipedia.org/wiki/The_Tightrope_Men
"Tony Hale, Space Detective",Hugh Walters,1973,28,1973,Science fiction; novel,United Kingdom,29,1184,"https://en.wikipedia.org/wiki/Tony_Hale,_Space_Detective"
Uncle and the Battle for Badgertown,J. P. Martin,1973,28,1973,,UK,11,617,https://en.wikipedia.org/wiki/Uncle_and_the_Battle_for_Badgertown
United!,Michael Hardcastle,1973,28,1973,Novel,United Kingdom,8,611,https://en.wikipedia.org/wiki/United!_(novel)
Urban the Ninth,Bruce Marshall,1973,28,1973,,Scotland,40,1283,https://en.wikipedia.org/wiki/Urban_the_Ninth
Warrior of Scorpio,Kenneth Bulmer,1973,28,1973,Sword and planet,United States,18,2775,https://en.wikipedia.org/wiki/Warrior_of_Scorpio
The Way to Dusty Death,Alistair MacLean,1973,28,1973,Thriller novel,United Kingdom,66,2369,https://en.wikipedia.org/wiki/The_Way_to_Dusty_Death
The Will and the Way,L.P. Hartley,1973,28,1973,Drama,,5,474,https://en.wikipedia.org/wiki/The_Will_and_the_Way_(novel)
Arena of Antares,Kenneth Bulmer,1974,28,1974,Sword and planet,United States,18,2603,https://en.wikipedia.org/wiki/Arena_of_Antares
Aunts Aren't Gentlemen,P. G. Wodehouse,1974,1,October 1974 (UK)|14 April 1975 (US),Comic novel,United Kingdom,261,6247,https://en.wikipedia.org/wiki/Aunts_Aren%27t_Gentlemen
Beneath the Moors,Brian Lumley,1974,28,1974,"Horror; ,; fantasy",United Kingdom,18,1029,https://en.wikipedia.org/wiki/Beneath_the_Moors
Black As He's Painted,Ngaio Marsh,1974,28,1974,Detective fiction,,45,1596,https://en.wikipedia.org/wiki/Black_as_He%27s_Painted
Blackstone and the Scourge of Europe,Derek Lambert,1974,28,1974,Historical thriller,United Kingdom,7,707,https://en.wikipedia.org/wiki/Blackstone_and_the_Scourge_of_Europe
The Bottle Factory Outing,Beryl Bainbridge,1974,1,Oct 1974 (UK)|Jan 1975 (US),Black comedy,United Kingdom,67,2241,https://en.wikipedia.org/wiki/The_Bottle_Factory_Outing
Breakheart Pass,Alistair MacLean; (1922–1987),1974,28,1974,Western; Thriller,United Kingdom; (; Scotland; ),65,2049,https://en.wikipedia.org/wiki/Breakheart_Pass_(novel)
The Centauri Device,M. John Harrison,1974,332,November 1974,Science fiction,United Kingdom,18,1725,https://en.wikipedia.org/wiki/The_Centauri_Device
The Clockwork Testament,Anthony Burgess,1974,28,1974,Mock epic; ; satire,United Kingdom,57,2301,"https://en.wikipedia.org/wiki/The_Clockwork_Testament,_or_Enderby%27s_End"
Concrete Island,J. G. Ballard,1974,28,1974,,United Kingdom,81,1955,https://en.wikipedia.org/wiki/Concrete_Island
Doctor Frigo,Eric Ambler,1974,28,1974,,United Kingdom,7,904,https://en.wikipedia.org/wiki/Doctor_Frigo
The Dogs of War,Frederick Forsyth,1974,28,1974,War novel,United Kingdom,58,3776,https://en.wikipedia.org/wiki/The_Dogs_of_War_(novel)
The Dream Millennium,James White,1974,28,1974,Science Fiction,,12,1515,https://en.wikipedia.org/wiki/The_Dream_Millennium
Eagle in the Sky,Wilbur Smith,1974,28,1974,Action,South Africa,60,2476,https://en.wikipedia.org/wiki/Eagle_in_the_Sky
The Ebony Tower,John Fowles,1974,28,1974,,United Kingdom,77,2055,https://en.wikipedia.org/wiki/The_Ebony_Tower
The Face of Trespass,Ruth Rendell,1974,64,5 March 1974,Crime; /; Mystery novel,United Kingdom,72,1740,https://en.wikipedia.org/wiki/The_Face_of_Trespass
The Fall of Chronopolis,Barrington J. Bayley,1974,179,June 1974,Science fiction,United Kingdom,30,1006,https://en.wikipedia.org/wiki/The_Fall_of_Chronopolis
The Fall of Colossus,Dennis Feltham Jones,1974,28,1974,Science fiction,United Kingdom,10,1660,https://en.wikipedia.org/wiki/The_Fall_of_Colossus
Holiday,Stanley Middleton,1974,28,1974,,United Kingdom,151,1829,https://en.wikipedia.org/wiki/Holiday_(novel)
The Dancers at the End of Time,Michael Moorcock,1981,28,1981,Science fiction,United Kingdom,134,7201,https://en.wikipedia.org/wiki/The_Dancers_at_the_End_of_Time
The Inverted World,Christopher Priest,1974,28,1974,Science fiction,United Kingdom,88,3725,https://en.wikipedia.org/wiki/Inverted_World
Jack Carter's Law,Ted Lewis,1974,28,1974,Crime fiction,United Kingdom,17,935,https://en.wikipedia.org/wiki/Jack_Carter%27s_Law
Kleinzeit,Russell Hoban,1974,28,1974,"Speculative fiction; ,; Philosophical novel",United Kingdom,8,990,https://en.wikipedia.org/wiki/Kleinzeit
The Land Leviathan,Michael Moorcock,1974,28,1974,Science fiction; novel,United Kingdom,90,2516,https://en.wikipedia.org/wiki/The_Land_Leviathan
Manhounds of Antares,Kenneth Bulmer,1974,28,1974,Sword and planet,United States,18,2472,https://en.wikipedia.org/wiki/Manhounds_of_Antares
The Memoirs of a Survivor,Doris Lessing,1974,28,1974,,,48,2924,https://en.wikipedia.org/wiki/The_Memoirs_of_a_Survivor
Monsieur,Lawrence Durrell,1974,28,1974,,Great Britain,31,2193,https://en.wikipedia.org/wiki/Monsieur_(novel)
North Star,Hammond Innes,1974,28,1974,Thriller,United Kingdom,5,479,https://en.wikipedia.org/wiki/North_Star_(novel)
The Ogre Downstairs,Diana Wynne Jones,1974,28,1974,"Fantasy; , children's literature",Great Britain,55,2273,https://en.wikipedia.org/wiki/The_Ogre_Downstairs
Porterhouse Blue,Tom Sharpe,1974,28,1974,,United Kingdom,78,2112,https://en.wikipedia.org/wiki/Porterhouse_Blue
Prince of Scorpio,Kenneth Bulmer,1974,28,1974,Sword and planet,United States,18,3006,https://en.wikipedia.org/wiki/Prince_of_Scorpio
The Rats,James Herbert,1974,28,1974,Horror,United Kingdom,4229,2212,https://en.wikipedia.org/wiki/The_Rats_(novel)
"""Rommel?"" ""Gunner Who?""",Spike Milligan; Jack Hobbs editor,1974,28,1974 (|Michael Joseph Ltd.|),"Autobiography; ,; Comic novel; ,; Satire",England,11,1885,https://en.wikipedia.org/wiki/%22Rommel%3F%22_%22Gunner_Who%3F%22
The Sacred and Profane Love Machine,Iris Murdoch,1974,28,1974,,United Kingdom,40,2547,https://en.wikipedia.org/wiki/The_Sacred_and_Profane_Love_Machine
Second Class Citizen,Buchi Emecheta,1974,28,1974,Literary fiction,Nigeria,13,978,https://en.wikipedia.org/wiki/Second_Class_Citizen_(novel)
Shardik,Richard Adams,1974,28,1974,Fantasy novel,England,54,1941,https://en.wikipedia.org/wiki/Shardik
Spy Story,Len Deighton,1974,28,1974,Spy novel,UK,51,3717,https://en.wikipedia.org/wiki/Spy_Story_(novel)
The Stronghold,Mollie Hunter,1974,148,May 1974,Children's; historical novel,United Kingdom,32,1491,https://en.wikipedia.org/wiki/The_Stronghold
The Talking Parcel,Gerald Durrell,1974,28,1974,Children's,United Kingdom,58,2276,https://en.wikipedia.org/wiki/The_Talking_Parcel
Tinker Tailor Soldier Spy,John le Carré,1974,179,June 1974,Spy fiction,United Kingdom,243,8439,https://en.wikipedia.org/wiki/Tinker_Tailor_Soldier_Spy
Twice Brightly,Harry Secombe,1974,28,1974,Comic novel,United Kingdom,8,1051,https://en.wikipedia.org/wiki/Twice_Brightly
The Twilight of Briareus,"""Richard Cowper"" (; John Middleton Murry Jr.; )",1974,28,1974,Science fiction; novel,United Kingdom,6,2027,https://en.wikipedia.org/wiki/The_Twilight_of_Briareus
Web of Everywhere,John Brunner,1974,179,June 1974,Science fiction,USA,35,1962,https://en.wikipedia.org/wiki/Web_of_Everywhere
Wild Jack,John Christopher,1974,244,"September 1, 1974",Science Fiction,England,21,3606,https://en.wikipedia.org/wiki/Wild_Jack
The Yermakov Transfer,Derek Lambert,1974,28,1974,Thriller,United Kingdom,5,490,https://en.wikipedia.org/wiki/The_Yermakov_Transfer
An April Shroud,Reginald Hill,1975,188,7 July 1975,crime novel,United Kingdom,23,1122,https://en.wikipedia.org/wiki/An_April_Shroud
Avenger of Antares,Kenneth Bulmer,1975,28,1975,Sword and planet,United States,19,2277,https://en.wikipedia.org/wiki/Avenger_of_Antares
Billy Liar on the Moon,Keith Waterhouse,1975,28,1975,Comedy,United Kingdom,5,1056,https://en.wikipedia.org/wiki/Billy_Liar_on_the_Moon
The Birthgrave: Birthgrave Trilogy: Book One,Tanith Lee,1975,179,June 1975 (|DAW Books| of America),Science fantasy,United States,42,4198,https://en.wikipedia.org/wiki/The_Birthgrave
The Black Tower,P. D. James,1975,28,1975,"Crime; ,; mystery",United Kingdom,46,1354,https://en.wikipedia.org/wiki/The_Black_Tower
Bladesman of Antares,Kenneth Bulmer,1975,28,1975,Sword and planet,United States,18,2399,https://en.wikipedia.org/wiki/Bladesman_of_Antares
Cart and Cwidder,Diana Wynne Jones,1975,28,1975,"Fantasy; ,; Children's novel",United Kingdom,53,2386,https://en.wikipedia.org/wiki/Cart_and_Cwidder
Changing Places,David Lodge,1975,28,1975,Campus novel,United Kingdom,45,1372,https://en.wikipedia.org/wiki/Changing_Places
Circus,Alistair MacLean,1975,28,1975,Spy Novel; Thriller novel,United Kingdom,61,2009,https://en.wikipedia.org/wiki/Circus_(novel)
Curtain: Poirot's Last Case,Agatha Christie,1975,271,September 1975,Crime novel,United Kingdom,248,7156,https://en.wikipedia.org/wiki/Curtain:_Poirot%27s_Last_Case
Danny the Champion of the World,Roald Dahl,1975,45,14 February 1975 |Jonathan Cape| (original)|Puffin Books| (current),Children's,United Kingdom,197,3381,"https://en.wikipedia.org/wiki/Danny,_the_Champion_of_the_World"
Dead Babies,Martin Amis,1975,28,1975,,England,44,1394,https://en.wikipedia.org/wiki/Dead_Babies_(novel)
A Division of the Spoils,Paul Scott,1975,125,5 May 1975,Historical novel,United Kingdom,25,1367,https://en.wikipedia.org/wiki/A_Division_of_the_Spoils
Docherty,William McIlvanney,1975,1,6 February 1975| (|1975-02-06|),,,25,1822,https://en.wikipedia.org/wiki/Docherty_(novel)
Dogsbody,Diana Wynne Jones,1975,28,1975,Children's; fantasy,United Kingdom,57,2477,https://en.wikipedia.org/wiki/Dogsbody_(novel)
The Eagle Has Landed,Jack Higgins,1975,251,8 September 1975,"War; ,; Thriller Novel",United Kingdom,52,2801,https://en.wikipedia.org/wiki/The_Eagle_Has_Landed_(novel)
Eight Days of Luke,Diana Wynne Jones,1975,28,1975,"Fantasy; , Children's literature",Great Britain,51,3289,https://en.wikipedia.org/wiki/Eight_Days_of_Luke
The Eye of the Tiger,Wilbur Smith,1975,28,1975,,South Africa,55,1348,https://en.wikipedia.org/wiki/The_Eye_of_the_Tiger_(novel)
Flashman in the Great Game,George MacDonald Fraser,1975,28,1975,Historical novel,United Kingdom,66,3054,https://en.wikipedia.org/wiki/Flashman_in_the_Great_Game
The Fog,James Herbert,1975,28,1975,Horror,United Kingdom,27,1665,https://en.wikipedia.org/wiki/The_Fog_(novel)
The Great Ghost Rescue,Eva Ibbotson,1975,28,1975,Children's novel,United Kingdom,31,1966,https://en.wikipedia.org/wiki/The_Great_Ghost_Rescue
The Great Victorian Collection,Brian Moore,1975,153,2 June 1975 (US),Fantasy novel,,152,2536,https://en.wikipedia.org/wiki/The_Great_Victorian_Collection
The Grey King,Susan Cooper,2024,275,October 1975|[1],Children's; fantasy; and; horror novel,United Kingdom,141,3608,https://en.wikipedia.org/wiki/The_Grey_King
Grimus,Salman Rushdie,1975,28,1975,Fantasy novel/Science Fiction,Great Britain,57,2773,https://en.wikipedia.org/wiki/Grimus
Guerrillas,V. S. Naipaul,1975,28,1975,,United States,36,1542,https://en.wikipedia.org/wiki/Guerrillas_(novel)
Hearing Secret Harmonies,Anthony Powell,1975,28,1975,,,38,1573,https://en.wikipedia.org/wiki/Hearing_Secret_Harmonies
Heat and Dust,Ruth Prawer Jhabvala,1975,303,30 October 1975,Historical novel,,165,2367,https://en.wikipedia.org/wiki/Heat_and_Dust
Hello Sailor,Eric Idle,1975,28,1975,Satire,United Kingdom,12,1304,https://en.wikipedia.org/wiki/Hello_Sailor_(novel)
"Hello Summer, Goodbye",Michael Coney,1975,179,June 1975,Science Fiction,"UK (also USA, Canada)",8,1683,"https://en.wikipedia.org/wiki/Hello_Summer,_Goodbye"
High-Rise,J. G. Ballard,1975,28,1975,"Dystopian; ,; thriller",United Kingdom,89,2776,https://en.wikipedia.org/wiki/High-Rise_(novel)
The History Man,Malcolm Bradbury,1975,28,1975,,United Kingdom,42,1476,https://en.wikipedia.org/wiki/The_History_Man
How Steeple Sinderby Wanderers Won the F.A. Cup,J.L. Carr,1975,28,1975,Comic Fiction,United Kingdom,15,1080,https://en.wikipedia.org/wiki/How_Steeple_Sinderby_Wanderers_Won_the_F.A._Cup
Imperial Earth,Arthur C. Clarke,1975,28,1975,Science fiction,United Kingdom,115,2036,https://en.wikipedia.org/wiki/Imperial_Earth
The Jonah Kit,Ian Watson,1975,28,1975,Science fiction,United Kingdom,53,1497,https://en.wikipedia.org/wiki/The_Jonah_Kit
Judas Country,Gavin Lyall,1975,28,1975,Thriller novel,United Kingdom,11,823,https://en.wikipedia.org/wiki/Judas_Country
Last Bus to Woodstock,Colin Dexter,1975,28,January 1975,Crime,United Kingdom,49,1987,https://en.wikipedia.org/wiki/Last_Bus_to_Woodstock
The Machine Gunners,Robert Westall,1975,261,18 September 1975,"Children's; historical novel; , war story",United Kingdom,42,1524,https://en.wikipedia.org/wiki/The_Machine_Gunners
Marx the First,Bruce Marshall,1975,28,1975,,Scotland,38,1387,https://en.wikipedia.org/wiki/Marx_the_First
The Minstrel Boy,A. J. Cronin,1975,28,1975,,United Kingdom,64,1677,https://en.wikipedia.org/wiki/The_Minstrel_Boy_(novel)
The Moneychangers,Arthur Hailey,1975,59,February 1975,,United States,79,2777,https://en.wikipedia.org/wiki/The_Moneychangers
Murder on Mars,Hugh Walters,1975,28,1975,Science fiction; novel,United Kingdom,30,1452,https://en.wikipedia.org/wiki/Murder_on_Mars
My Lord John,Georgette Heyer,1975,1,Jul 1975 |The Bodley Head| (UK)|Oct 1975 |E. P. Dutton| (US),Historical novel,United Kingdom,87,4780,https://en.wikipedia.org/wiki/My_Lord_John
On the Wasteland,Ruth M. Arthur,1975,28,1975,Young Adult Fiction,United Kingdom,7,2483,https://en.wikipedia.org/wiki/On_the_Wasteland
The Pious Agent,John Braine,1975,28,1975,Thriller,United Kingdom,13,727,https://en.wikipedia.org/wiki/The_Pious_Agent
"Richard Bolitho, Midshipman",Alexander Kent,1975,28,1975 by Hutchinson,,,11,891,"https://en.wikipedia.org/wiki/Richard_Bolitho,_Midshipman"
The Shepherd,Frederick Forsyth,1975,28,1975,,United Kingdom,156,4913,https://en.wikipedia.org/wiki/The_Shepherd
The Shockwave Rider,John Brunner,1975,28,1975,Science fiction,United Kingdom,84,5397,https://en.wikipedia.org/wiki/The_Shockwave_Rider
Shōgun,James Clavell,1975,28,1975,Historical fiction,"United Kingdom, United States",161,5934,https://en.wikipedia.org/wiki/Sh%C5%8Dgun_(novel)
The Snow Tiger,Desmond Bagley,1975,28,1975,Thriller,United Kingdom,25,1661,https://en.wikipedia.org/wiki/The_Snow_Tiger
A Stranger Came Ashore,Mollie Hunter,1975,219,7 August 1975,Fantasy; Thriller; Funny,Scotland,13,1087,https://en.wikipedia.org/wiki/A_Stranger_Came_Ashore
Sweet William,Beryl Bainbridge,1975,28,1975,,United Kingdom,24,1218,https://en.wikipedia.org/wiki/Sweet_William_(novel)
A Three-Pipe Problem,Julian Symons,1975,28,1975,Detective,United Kingdom,7,660,https://en.wikipedia.org/wiki/A_Three-Pipe_Problem
Touch the Lion's Paw,Derek Lambert,1975,28,1975,Thriller,United Kingdom,5,574,https://en.wikipedia.org/wiki/Touch_the_Lion%27s_Paw
A Word Child,Iris Murdoch,1975,28,1975,,United Kingdom,50,1520,https://en.wikipedia.org/wiki/A_Word_Child
The World Is of Divorced Women,Jackie Collins,1975,28,1975,Fiction,England,30,990,https://en.wikipedia.org/wiki/The_World_Is_Full_of_Divorced_Women
The Adventures of Una Persson and Catherine Cornelius in the 20th Century,Michael Moorcock,1976,28,1976,Literary fiction,United Kingdom,78,1768,https://en.wikipedia.org/wiki/The_Adventures_of_Una_Persson_and_Catherine_Cornelius_in_the_20th_Century
The Alteration,Kingsley Amis,1976,28,1976,Alternate history; novel,United Kingdom,70,3399,https://en.wikipedia.org/wiki/The_Alteration
Armada of Antares,Kenneth Bulmer,1976,28,1976,Sword and planet,United States,18,2378,https://en.wikipedia.org/wiki/Armada_of_Antares
Beard's Roman Women,Anthony Burgess,1976,1,Sep 1976 (US)|Feb 1977 (UK)|[1],Novel,United Kingdom,55,1880,https://en.wikipedia.org/wiki/Beard%27s_Roman_Women
Blackstone Underground,Derek Lambert,1976,28,1976,Historical thriller,United Kingdom,6,695,https://en.wikipedia.org/wiki/Blackstone_Underground
Blood Feud,Rosemary Sutcliff,1976,28,1976,Historical novel,United Kingdom,35,1606,https://en.wikipedia.org/wiki/Blood_Feud_(novel)
The Bride Price,Buchi Emecheta,1976,28,1976,Novel,Nigeria,27,1558,https://en.wikipedia.org/wiki/The_Bride_Price
Collision Course,Nigel Hinton,1976,28,1976,Teenage fiction,United Kingdom,30,4445,https://en.wikipedia.org/wiki/Collision_Course_(Hinton_novel)
