date,description,article_length,page_url
1970s,"Public-key cryptography is invented and developed by James H. Ellis, Clifford Cocks, Malcolm J. Williamson, Whitfield Diffie, Martin Hellman, Ralph Merkle, Ron Rivest, Adi Shamir, Leonard Adleman, et al.",6702,https://en.wikipedia.org/wiki/Public-key_cryptography
1970,The pocket calculator is invented.,14703,https://en.wikipedia.org/wiki/Calculator#Pocket_calculators
1971,"The first single-chip microprocessor, the Intel 4004, is invented. Its development was led by Federico Faggin, using his silicon-gate MOS technology. This led to the personal computer (PC) revolution.",17403,https://en.wikipedia.org/wiki/Microprocessor
1971,"The first space station, Salyut 1 is launched.",19274,https://en.wikipedia.org/wiki/Space_station
1972,"The first video game console, used primarily for playing video games on a TV, is the Magnavox Odyssey.",18613,https://en.wikipedia.org/wiki/Video_game_console
1973,The first fiber optic communication systems were developed by Optelecom.,817,https://en.wikipedia.org/wiki/Optelecom
1973,The first commercial graphical user interface is introduced in 1973 on the Xerox Alto. The modern GUI is later popularized by the Xerox Star and Apple Lisa.,7253,https://en.wikipedia.org/wiki/Graphical_user_interface
1973,The first capacitive touchscreen is developed at CERN.,20250,https://en.wikipedia.org/wiki/Touchscreen#Capacitive
1974,"The Transmission Control Program is proposed by Vinton Cerf and Robert E. Kahn, building on the work of Louis Pouzin, creating the basis for the modern Internet.",4213,https://en.wikipedia.org/wiki/Transmission_Control_Program
1974,"The lithium-ion battery is invented by M. Stanley Whittingham, and further developed in the 1980s and 1990s by John B. Goodenough, Rachid Yazami and Akira Yoshino. It has impacted modern consumer electronics and electric vehicles.",34520,https://en.wikipedia.org/wiki/Lithium-ion_battery
1977,Dr Walter Gilbert and Frederick Sanger invented a new DNA sequencing method for which they won the Nobel Prize.,22663,https://en.wikipedia.org/wiki/Nobel_Prize
1977,The first self-driving car that did not rely upon rails or wires under the road is designed by the Tsukuba Mechanical Engineering Laboratory.,30748,https://en.wikipedia.org/wiki/Self-driving_car
1978,"The Global Positioning System (GPS) enters service. While not the first Satellite navigation system, it is the first to enter widespread civilian use.",37154,https://en.wikipedia.org/wiki/Global_Positioning_System
1979,"The first handheld game console with interchangeable game cartridges, the Microvision is released.",7293,https://en.wikipedia.org/wiki/Microvision
1979,"Public dialup information, messaging and e-commerce services, were pioneered through CompuServe and RadioShack's MicroNET, and the UK's Post Office Telecommunications Prestel services.",12107,https://en.wikipedia.org/wiki/CompuServe
1980,Flash memory (both NOR and NAND types) is invented by Fujio Masuoka while working for Toshiba. It is formally introduced to the public in 1984.,30018,https://en.wikipedia.org/wiki/Flash_memory
1981,"The first reusable spacecraft, the Space Shuttle undergoes test flights ahead of full operation in 1982.",31539,https://en.wikipedia.org/wiki/Space_Shuttle
1981,"Kane Kramer develops the credit card sized, IXI digital media player.",908,https://en.wikipedia.org/wiki/Kane_Kramer
1982,"A CD-ROM contains data accessible to, but not writable by, a computer for data storage and music playback. The 1985 Yellow Book standard developed by Sony and Philips adapted the format to hold any form of binary data.",8909,https://en.wikipedia.org/wiki/CD-ROM
1982,"Direct to home satellite television transmission, with the launch of Sky One service.",19309,https://en.wikipedia.org/wiki/Satellite_television
1982,"The first laptop computer is launched, the 8/16-bit Epson HX-20.",18639,https://en.wikipedia.org/wiki/Laptop
1983,Stereolithography is invented by Chuck Hull.,4733,https://en.wikipedia.org/wiki/Stereolithography
1984,"The first commercially available cell phone, the DynaTAC 8000X, is created by Motorola.",17439,https://en.wikipedia.org/wiki/Cell_phone
1984,DNA profiling is pioneered by Alec Jeffreys.,18718,https://en.wikipedia.org/wiki/DNA_profiling
1989,"Karlheinz Brandenburg would publish the audio compression algorithms that would be standardised as the: MPEG-1, layer 3 (mp3), and later the MPEG-2, layer 7 Advanced Audio Compression (AAC).",4069,https://en.wikipedia.org/wiki/Karlheinz_Brandenburg
1989,The World Wide Web is invented by computer scientist Tim Berners-Lee.,17857,https://en.wikipedia.org/wiki/World_Wide_Web
1990,The Neo Geo AES becomes the first video game system to launch that used Memory Cards,9396,https://en.wikipedia.org/wiki/Neo_Geo_AES
1990,"The first search engine invented was “Archie”, created by Alan Emtage a student at McGill University in Montreal",1865,https://en.wikipedia.org/wiki/Archie_(search_engine)
1991,The first commercial flash-based solid-state drive is launched by SunDisk.,31072,https://en.wikipedia.org/wiki/Solid-state_drive
1991,"The first sim card is developed by Munich smart-card maker Giesecke & Devrient,",11119,https://en.wikipedia.org/wiki/Sim_card
1994,"IBM Simon, World's first smartphone is developed by IBM.",4933,https://en.wikipedia.org/wiki/IBM_Simon
1994,First generation of Bluetooth is developed by Ericsson Mobile. A form of data communication on short distances between electronic devices.,24847,https://en.wikipedia.org/wiki/Bluetooth
1994,A Tetris variant on the Hagenuk MT-2000 device becomes the first mobile game,18578,https://en.wikipedia.org/wiki/Tetris
1995,"DVD is an optical disc storage format, invented and developed by Philips, Sony, Toshiba, and Panasonic in 1995. DVDs offer higher storage capacity than compact discs while having the same dimensions.",15981,https://en.wikipedia.org/wiki/DVD
1995,Match.com launches as the first dating site ever and is the number 1 most visited dating site in the US,2833,https://en.wikipedia.org/wiki/Match.com
1995,Waiter.com launches as the first online food ordering service,1536,https://en.wikipedia.org/wiki/Waiter.com
1996,Ciena deploys the first commercial wave division multiplexing system in partnership with Sprint. This created the massive capacity of the internet.,9369,https://en.wikipedia.org/wiki/Ciena
1996,Mobile web was first commercially offered in Finland on the Nokia 9000 Communicator phone and it was also the first phone with texting,4815,https://en.wikipedia.org/wiki/Nokia_9000_Communicator
1996,Bolt and Six Degrees (1997) both become the first social media sites,3384,https://en.wikipedia.org/wiki/Bolt_(website)
1997,"The first weblog, a discussion or informational website, is created by Jorn Barger, later shortened to ""blog"" in 1999 by Peter Merholz.",5355,https://en.wikipedia.org/wiki/Jorn_Barger
1998,The first portable MP3 player is released by SaeHan Information Systems.,15906,https://en.wikipedia.org/wiki/MP3_player
1999,"The first digital video recorder (DVR), the TiVo, is launched by Xperi.",9333,https://en.wikipedia.org/wiki/Digital_video_recorder
1999,"NTT DoCoMo launches i-mode, the first integrated Online App store for mobile phones",8335,https://en.wikipedia.org/wiki/NTT_DoCoMo
2000,Sony develops the first prototypes for the Blu-ray optical disc format. The first prototype player was released in 2004.,29510,https://en.wikipedia.org/wiki/Sony
2000,"First documented placement of Geocaching, an outdoor recreational activity, in which participants use a Global Positioning System (GPS) receiver or mobile device and other navigational techniques to hide and seek containers, took place on May 3, 2000, by Dave Ulmer of Beavercreek, Oregon.",17354,https://en.wikipedia.org/wiki/Geocaching
2001,The Xbox Launches and is the first game console with internal storage,21755,https://en.wikipedia.org/wiki/Xbox
2004,"First podcast, invented by Adam Curry and Dave Winer, is a program made available in digital format for download over the Internet and it usually features one or more recurring hosts engaged in a discussion about a particular topic or current event.",10016,https://en.wikipedia.org/wiki/Podcast
2005,"YouTube, the first popular video-streaming site, was founded",64346,https://en.wikipedia.org/wiki/YouTube
2007,Netflix debuted the first popular video-on-demand service,51942,https://en.wikipedia.org/wiki/Netflix
2007,The Bank of Scotland develops the worlds first banking app,11934,https://en.wikipedia.org/wiki/Bank_of_Scotland
2007,"SoundCloud, the first on-demand service to focus on music is debuted",9051,https://en.wikipedia.org/wiki/SoundCloud
2007,"First Kindle introduced by Amazon (company) founder and CEO Jeff Bezos, who instructed the company's employees to build the world's best e-reader before Amazon's competitors could. Amazon originally used the codename Fiona for the device. This hardware evolved from the original Kindle introduced in 2007 and the Kindle DX (with its larger 9.7"" screen) introduced in 2009.",30665,https://en.wikipedia.org/wiki/Amazon_Kindle
2008,Satoshi Nakamoto develops the first blockchain.,8113,https://en.wikipedia.org/wiki/Satoshi_Nakamoto
2009,The Zeebo is released becoming the first digital-only video game console,6877,https://en.wikipedia.org/wiki/Zeebo
2010,"The first solar sail based spacecraft, IKAROS.",17949,https://en.wikipedia.org/wiki/Solar_sail
2010,The first quantum machine,4580,https://en.wikipedia.org/wiki/Quantum_machine
2010,"The first synthetic organism, Mycoplasma laboratorium is created by the J. Craig Venter Institute.",32127,https://en.wikipedia.org/wiki/Synthetic_biology
2011,"Twitch, launches as the first live-streaming service.",32331,https://en.wikipedia.org/wiki/Twitch_(service)
2011,HIV treatment as prevention (HPTN 052),1832,https://en.wikipedia.org/wiki/HPTN_052
2012,Discovery of the Higgs boson,47543,https://en.wikipedia.org/wiki/Higgs_boson
2013,Cancer immunotherapy,18935,https://en.wikipedia.org/wiki/Cancer_immunotherapy
2014,"The first known ""NFT"", Quantum, was created by Kevin McCoy and Anil Dash in May 2014, that explicitly linked a non-fungible, tradable blockchain marker to a work of art, via on-chain metadata (enabled by Namecoin).",21459,https://en.wikipedia.org/wiki/NFT
2015,CRISPR genome-editing method,32251,https://en.wikipedia.org/wiki/CRISPR
2016,"The Laser Interferometer Gravitational-Wave Observatory makes the first observation of gravitational waves, fulfilling Einstein's prediction",17368,https://en.wikipedia.org/wiki/Laser_Interferometer_Gravitational-Wave_Observatory
2018,Single cell sequencing,13962,https://en.wikipedia.org/wiki/Single_cell_sequencing
2019,"IBM launches IBM Q System One, its first integrated quantum computing system for commercial use.",24624,https://en.wikipedia.org/wiki/IBM
2020,The first RNA vaccine to be approved by public health medicines regulators is co-developed by Pfizer and BioNTech for COVID-19.,29688,https://en.wikipedia.org/wiki/RNA_vaccine
2022,Pfizer develops the world's first pill for COVID,29277,https://en.wikipedia.org/wiki/Pfizer
